Fitness,all
0.6666667, 0.6666667
0.3333334, 0.3333334
0, 0
0.5, 0.5
1, 1
0.25, 0.25
0, 0
-0.3333333, -0.3333333
-0.3333333, -0.3333333
0.5, 0.5
1, 1
0.3333333, 0.3333333
0.6666667, 0.6666667
0.3333333, 0.3333333
1, 1
0, 0
0, 0
1, 1
0.6666667, 0.6666667
0, 0
-0.3333333, -0.3333333
0, 0
0.75, 0.75
0.6, 0.6
0, 0
0.5, 0.5
1, 1
0.5, 0.5
0.1666667, 0.1666667
0.3333333, 0.3333333
0.5, 0.5
0, 0
0.5, 0.5
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
0.5, 0.5
0.6666667, 0.6666667
0.3333333, 0.3333333
0.3333333, 0.3333333
0.6666667, 0.6666667
1, 1
0.1666667, 0.1666667
1, 1
-0.3333333, -0.3333333
0.25, 0.25
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
0.3333333, 0.3333333
0.3333334, 0.3333334
0.5, 0.5
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.75, 0.75
1, 1
0.6666667, 0.6666667
1, 1
0, 0
0.3333334, 0.3333334
0.3333334, 0.3333334
0, 0
1, 1
0.25, 0.25
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
0.5, 0.5
1, 1
0.2, 0.2
0, 0
0.6666667, 0.6666667
0, 0
0.5, 0.5
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
0.3333334, 0.3333334
0, 0
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
0.3333334, 0.3333334
0, 0
0, 0
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
0.5, 0.5
0.5, 0.5
1, 1
0.75, 0.75
0.5, 0.5
1, 1
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
0.3333333, 0.3333333
0, 0
0.3333333, 0.3333333
1, 1
0, 0
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
0.5, 0.5
1, 1
1, 1
0, 0
0, 0
0, 0
0.2, 0.2
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
0.3333334, 0.3333334
0.6666667, 0.6666667
0.3333333, 0.3333333
1, 1
0.6, 0.6
1, 1
0.1666667, 0.1666667
0, 0
0.5, 0.5
0.6666667, 0.6666667
0.75, 0.75
0.5, 0.5
1, 1
0.6666667, 0.6666667
1, 1
0.5, 0.5
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
0.5, 0.5
1, 1
-0.3333333, -0.3333333
1, 1
0.6666667, 0.6666667
0.3333333, 0.3333333
0, 0
0.5, 0.5
0.6666667, 0.6666667
0, 0
0.75, 0.75
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0, 0
0.6666667, 0.6666667
0.5, 0.5
1, 1
0.6666667, 0.6666667
0.8333334, 0.8333334
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
0.5, 0.5
0.3333333, 0.3333333
0.5, 0.5
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.3333333, 0.3333333
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
-0.5, -0.5
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.5, 0.5
0, 0
0.2, 0.2
0, 0
1, 1
0.4, 0.4
1, 1
0.6666667, 0.6666667
0.5, 0.5
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0.25, 0.25
0.75, 0.75
0.3333333, 0.3333333
0.3333334, 0.3333334
1, 1
1, 1
0.3333334, 0.3333334
0.2, 0.2
0, 0
0.3333334, 0.3333334
-0.3333333, -0.3333333
0.5, 0.5
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
1, 1
0.6, 0.6
0.5, 0.5
0.5, 0.5
1, 1
1, 1
-0.3333333, -0.3333333
0, 0
0.5, 0.5
0.5, 0.5
1, 1
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
0, 0
0, 0
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0, 0
0.2, 0.2
1, 1
1, 1
0.6666667, 0.6666667
0.6666667, 0.6666667
0.2, 0.2
0, 0
1, 1
0.8333334, 0.8333334
1, 1
1, 1
0.5, 0.5
0.7333333, 0.7333333
1, 1
0.6666667, 0.6666667
0.75, 0.75
1, 1
1, 1
0.5, 0.5
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
0.3333334, 0.3333334
0.5, 0.5
0, 0
1, 1
1, 1
0.6, 0.6
0.6666667, 0.6666667
0.6666667, 0.6666667
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0.2, 0.2
0.3333334, 0.3333334
0, 0
1, 1
0.3333333, 0.3333333
0.8, 0.8
1, 1
0.6666667, 0.6666667
1, 1
0.3333334, 0.3333334
0, 0
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.5, 0.5
0.5, 0.5
0, 0
1, 1
1, 1
0.3333333, 0.3333333
1, 1
1, 1
0.6666667, 0.6666667
0.5, 0.5
0.3333333, 0.3333333
0, 0
0.3333334, 0.3333334
0.6666667, 0.6666667
0.3333334, 0.3333334
0.3333334, 0.3333334
0.5, 0.5
0.4666667, 0.4666667
0.3333334, 0.3333334
1, 1
1, 1
0.6, 0.6
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.3333333, 0.3333333
0.5, 0.5
1, 1
0, 0
0.25, 0.25
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0, 0
0, 0
0.8, 0.8
0.6666667, 0.6666667
0.6, 0.6
1, 1
0.5, 0.5
1, 1
1, 1
0.75, 0.75
0.6666667, 0.6666667
0.3333334, 0.3333334
1, 1
1, 1
1, 1
1, 1
1, 1
0.1333334, 0.1333334
1, 1
0.3333334, 0.3333334
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.4, 0.4
0.2, 0.2
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
0.6, 0.6
0, 0
0.3333333, 0.3333333
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0, 0
0, 0
0.5, 0.5
1, 1
1, 1
1, 1
0, 0
0, 0
0.6666667, 0.6666667
1, 1
0.6666667, 0.6666667
1, 1
0, 0
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0, 0
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6, 0.6
0.5, 0.5
0, 0
0, 0
0, 0
0.6666667, 0.6666667
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
0.6, 0.6
0.6666667, 0.6666667
0, 0
1, 1
1, 1
0, 0
0, 0
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
0.6666667, 0.6666667
0.5, 0.5
1, 1
0.3333333, 0.3333333
0.5, 0.5
0.3333333, 0.3333333
1, 1
1, 1
0.8, 0.8
1, 1
0.6, 0.6
1, 1
0.6666667, 0.6666667
0.25, 0.25
1, 1
0, 0
0, 0
1, 1
1, 1
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
0.3333333, 0.3333333
1, 1
1, 1
1, 1
0, 0
0.8333334, 0.8333334
1, 1
1, 1
1, 1
1, 1
1, 1
-0.5, -0.5
1, 1
1, 1
1, 1
1, 1
0.2, 0.2
0.6, 0.6
1, 1
1, 1
1, 1
1, 1
-0.2, -0.2
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.5, 0.5
0, 0
0, 0
0, 0
0, 0
1, 1
0, 0
1, 1
1, 1
1, 1
1, 1
0.1666667, 0.1666667
0.05, 0.05
0.7, 0.7
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
1, 1
0.75, 0.75
1, 1
0.6, 0.6
1, 1
0.6666667, 0.6666667
0.8, 0.8
1, 1
0, 0
0.6, 0.6
0.1666667, 0.1666667
1, 1
0.3, 0.3
0.3333333, 0.3333333
0.7, 0.7
1, 1
1, 1
1, 1
0, 0
0, 0
0, 0
0.5714286, 0.5714286
0.5, 0.5
0.3333333, 0.3333333
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
0.3333333, 0.3333333
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
-0.3333333, -0.3333333
1, 1
0.3333333, 0.3333333
1, 1
-0.5, -0.5
0.5, 0.5
1, 1
1, 1
0.06666663, 0.06666663
0.3333333, 0.3333333
0, 0
0, 0
0.25, 0.25
0.75, 0.75
1, 1
0.3714285, 0.3714285
0.5, 0.5
-0.6666666, -0.6666666
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.3333333, 0.3333333
0.8, 0.8
0.3333333, 0.3333333
1, 1
1, 1
1, 1
0.8, 0.8
0, 0
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
0, 0
0, 0
0, 0
0, 0
1, 1
0.3333333, 0.3333333
1, 1
0.6666667, 0.6666667
1, 1
0.3333333, 0.3333333
0, 0
0, 0
1, 1
0.5, 0.5
1, 1
0.5, 0.5
0.8, 0.8
0.3333333, 0.3333333
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
0.1666667, 0.1666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.2, 0.2
1, 1
0.6, 0.6
1, 1
1, 1
1, 1
0, 0
0.3333334, 0.3333334
0, 0
-0.3333333, -0.3333333
1, 1
1, 1
1, 1
0.3333333, 0.3333333
1, 1
0.4285714, 0.4285714
0.6666667, 0.6666667
0.6666667, 0.6666667
0, 0
1, 1
0.75, 0.75
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
-0.3333333, -0.3333333
1, 1
0.5, 0.5
0.2, 0.2
1, 1
1, 1
1, 1
0.5, 0.5
1, 1
0.6666667, 0.6666667
1, 1
0.8333334, 0.8333334
0.8, 0.8
1, 1
1, 1
0.3333333, 0.3333333
0.3333333, 0.3333333
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0.7857143, 0.7857143
1, 1
0.1, 0.1
0.5714286, 0.5714286
0.6666667, 0.6666667
0.7, 0.7
0.3333333, 0.3333333
-0.5, -0.5
1, 1
1, 1
0.3714285, 0.3714285
0.8, 0.8
0.6666667, 0.6666667
1, 1
1, 1
0.8, 0.8
1, 1
1, 1
0.3333333, 0.3333333
0.2857143, 0.2857143
0.3333333, 0.3333333
1, 1
1, 1
0, 0
0, 0
1, 1
1, 1
0.5, 0.5
0.5714286, 0.5714286
1, 1
1, 1
1, 1
0.3333333, 0.3333333
1, 1
1, 1
1, 1
1, 1
1, 1
0.25, 0.25
0, 0
0.5, 0.5
1, 1
1, 1
0.7, 0.7
0.8, 0.8
0, 0
0.8, 0.8
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.5714286, 0.5714286
0.3333333, 0.3333333
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
1, 1
1, 1
1, 1
0.5, 0.5
0, 0
-0.2, -0.2
0.6666667, 0.6666667
0.5, 0.5
1, 1
0.6666667, 0.6666667
1, 1
0.8, 0.8
1, 1
0.8, 0.8
0.6666667, 0.6666667
1, 1
1, 1
0, 0
0, 0
1, 1
1, 1
0, 0
0, 0
1, 1
1, 1
1, 1
1, 1
1, 1
1, 1
0, 0
0, 0
1, 1
1, 1
0.7857143, 0.7857143
-0.3333333, -0.3333333
1, 1
0.3333334, 0.3333334
1, 1
0.7333333, 0.7333333
1, 1
1, 1
0.3333334, 0.3333334
0.75, 0.75
0, 0
0.5, 0.5
0.6, 0.6
1, 1
-0.2, -0.2
1, 1
1, 1
0.7333333, 0.7333333
0.8, 0.8
0.3333334, 0.3333334
0.6, 0.6
1, 1
1, 1
0.5, 0.5
1, 1
0.75, 0.75
1, 1
1, 1
1, 1
1, 1
0.6666667, 0.6666667
0.8333333, 0.8333333
0.7, 0.7
0.8, 0.8
0.5714286, 0.5714286
1, 1
1, 1
1, 1
1, 1
1, 1
0.8, 0.8
0, 0
0.6666667, 0.6666667
0, 0
1, 1
1, 1
0.6666667, 0.6666667
1, 1
0.8, 0.8
1, 1
1, 1
4.470348E-08, 4.470348E-08
0, 0
0.09523807, 0.09523807
1, 1
0.6666667, 0.6666667
1, 1
1, 1
0.5, 0.5
1, 1
1, 1
1, 1
1, 1
1, 1
0, 0
0.8333334, 0.8333334
1, 1
0.7, 0.7
0.8, 0.8
1, 1
1, 1
0.5, 0.5
-0.2, -0.2
0.25, 0.25
0.5, 0.5
0.7, 0.7
